,Title,Category,Latitude,Longitude,geometry,county,subcounty,ward,centroid
390,Plansmartt Agrovet,Veterinary care,-0.4230358,36.9527718,POINT (36.9527718 -0.4230358),NYERI,Nyeri Central Sub County,Rware Ward,POINT (36.94890415351513 -0.4225772371684778)
391,SHAKAINA AGROVET,Veterinary care,-0.6632643,37.3246337,POINT (37.3246337 -0.6632643),KIRINYAGA,Kirinyaga North/Mwea West Sub County,Thiba Ward,POINT (37.329106688941124 -0.6782387290402264)
392,Magutu Agrovet,Veterinary care,-0.6847677,37.3538334,POINT (37.3538334 -0.6847677),KIRINYAGA,Kirinyaga South Sub County,Tebere Ward,POINT (37.40114972172263 -0.6944447636202039)
393,Sterani Agrovet,Veterinary care,-0.0035607,37.5938262,POINT (37.5938262 -0.0035607),MERU,Imenti Central Sub County,Abothuguchi west Ward,POINT (37.46867648051586 -0.016807699507928)
394,Highway Agrovet,Veterinary care,-0.4360756,36.9740771,POINT (36.9740771 -0.4360756),NYERI,Nyeri Central Sub County,RURING'U / Karia Ward,POINT (36.960672928885046 -0.4530847469233535)
395,Amboni Agrovet,Veterinary care,-0.3277744,36.9047691,POINT (36.9047691 -0.3277744),NYERI,Kieni West Sub County,Mweiga Ward,POINT (36.92081697112847 -0.3420471725582651)
396,BIDII AGROVET,Veterinary care,-0.6221067,37.3635519,POINT (37.3635519 -0.6221067),KIRINYAGA,Kirinyaga South Sub County,Nyangati Ward,POINT (37.34814492600702 -0.5922576413671506)
397,JOLIAN AGROVET,Veterinary care,-0.5631079,37.1879008,POINT (37.1879008 -0.5631079),KIRINYAGA,Kirinyaga West Sub County,Kiine Ward,POINT (37.204337756916445 -0.5563566018508073)
398,TWINFARM AGROVET AND POULTRY CENTRE,Veterinary care,-0.5031943,37.2782654,POINT (37.2782654 -0.5031943),KIRINYAGA,Kirinyaga Central Sub County,Kerugoya Ward,POINT (37.28449519958003 -0.4980842403617933)
399,Jackie Agrovet,Veterinary care,0.021418,37.6255427,POINT (37.6255427 0.021418),MERU,Imenti North Sub County,Ntima west Ward,POINT (37.65247553077235 0.0757513956804046)
400,KABOY AGROVET,Veterinary care,0.1296842,37.719974,POINT (37.719974 0.1296842),MERU,Tigania West Sub County,Nkomo Ward,POINT (37.742248042556376 0.1250841932846706)
401,GLORY AGROVET,Veterinary care,0.0256179,37.0964533,POINT (37.0964533 0.0256179),MERU,Buuri Sub County,Timau Ward,POINT (37.1915683299666 0.0228124658367306)
402,SMART FARM AGROVET,Veterinary care,-0.6365273,37.3610013,POINT (37.3610013 -0.6365273),KIRINYAGA,Kirinyaga South Sub County,Gathigiriri Ward,POINT (37.39181978325719 -0.6600447371528825)
403,RWARE AGROVET CENTRE LTD,Veterinary care,-0.5385231,37.4513694,POINT (37.4513694 -0.5385231),EMBU,Manyatta  Sub County,Kirimari Ward,POINT (37.44794411156195 -0.5059675632065675)
404,MARURA AGROVET,Veterinary care,-0.5242603,37.1396045,POINT (37.1396045 -0.5242603),NYERI,Mathira East Sub County,Konyu Ward,POINT (37.12461872787916 -0.5225401737385358)
405,FARMCARE AGROVET KWA MUTEMBEI SAITOTI,Veterinary care,0.2325853,37.9413741,POINT (37.9413741 0.2325853),MERU,Igembe South Sub County,Maua Ward,POINT (37.94854556459812 0.2412460084294319)
406,Mwihoko Agrovet,Veterinary care,-0.1731768,37.022023,POINT (37.022023 -0.1731768),NYERI,Kieni East Sub County,Naromoru/kiamathaga Ward,POINT (37.10111469553748 -0.1636787723710145)
407,FARMCARE AGROVET,Veterinary care,0.0506706,37.698006,POINT (37.698006 0.0506706),MERU,Imenti North Sub County,Nyaki east Ward,POINT (37.76943252043774 0.0333244686571716)
408,R.K. AGROVET,Veterinary care,-0.1724906,37.0220512,POINT (37.0220512 -0.1724906),NYERI,Kieni East Sub County,Naromoru/kiamathaga Ward,POINT (37.10111469553748 -0.1636787723710145)
409,Fugalima centre,Agricultural service,-0.4220066,36.9527363,POINT (36.9527363 -0.4220066),NYERI,Nyeri Central Sub County,Rware Ward,POINT (36.94890415351513 -0.4225772371684778)
410,WAPE farm link Agrovet,Agrochemicals supplier,-0.5095668,38.0810896,POINT (38.0810896 -0.5095668),KITUI,Mwingi North Sub County,Mumoni Ward,POINT (38.001220171775806 -0.5969660805771935)
411,FARMCARE AGROVET,Veterinary care,-0.4865048,37.5386978,POINT (37.5386978 -0.4865048),EMBU,Manyatta  Sub County,Kithimu Ward,POINT (37.53560541794128 -0.5125599904138941)
412,Samkan Agrovet,Veterinary care,-0.6858513,37.6488397,POINT (37.6488397 -0.6858513),EMBU,Mbeere South  Sub County,Mavuria Ward,POINT (37.687442040689454 -0.7352999096343124)
413,DAN'S AGROVET,Veterinary care,-0.4106958,36.892418,POINT (36.892418 -0.4106958),NYERI,Tetu Sub County,Dedan kimathi Ward,POINT (36.83392774790703 -0.4279432467398578)
414,KILIMO BORA AGROVET,Veterinary care,-0.6897787,37.348691,POINT (37.348691 -0.6897787),KIRINYAGA,Kirinyaga North/Mwea West Sub County,Thiba Ward,POINT (37.329106688941124 -0.6782387290402264)
415,ARIMI AGROVET,Veterinary care,0.1230084,37.5614532,POINT (37.5614532 0.1230084),MERU,Buuri Sub County,Kiirua Naari Ward,POINT (37.56428668038381 0.1625087886021226)
416,Farmlink Enterprises-Meru,Agricultural service,0.0477338,37.6550472,POINT (37.6550472 0.0477338),MERU,Imenti North Sub County,Municipality Ward,POINT (37.63976542919719 0.0569491889530122)
417,Chania AgroVet,Veterinary care,-0.4386764,37.105989,POINT (37.105989 -0.4386764),NYERI,Mathira East Sub County,Karatina town Ward,POINT (37.112098666395134 -0.4524106570740936)
418,FEFASHA AGROVET,Veterinary care,0.0149458,37.0747324,POINT (37.0747324 0.0149458),LAIKIPIA,Laikipia East Sub County,Nanyuki Ward,POINT (37.089579051717116 0.0226569259593235)
419,Grand Agro-Vet Supplies,Agricultural service,-0.5382843,37.4538279,POINT (37.4538279 -0.5382843),EMBU,Manyatta  Sub County,Kirimari Ward,POINT (37.44794411156195 -0.5059675632065675)
420,Soulmate Agrovet,Agrochemicals supplier,-0.5358256,37.4524452,POINT (37.4524452 -0.5358256),EMBU,Manyatta  Sub County,Kirimari Ward,POINT (37.44794411156195 -0.5059675632065675)
421,Farm Link Enterprises Embu,Agrochemicals supplier,-0.5381877,37.4596825,POINT (37.4596825 -0.5381877),EMBU,Manyatta  Sub County,Mbeti north Ward,POINT (37.48916960043009 -0.5370166459605027)
422,Tekagro Tekelezi Agrovet,Veterinary care,-0.5358142,37.4524331,POINT (37.4524331 -0.5358142),EMBU,Manyatta  Sub County,Kirimari Ward,POINT (37.44794411156195 -0.5059675632065675)
423,Bwana Shamba Agro-vet,Agrochemicals supplier,-0.5355349,37.4527867,POINT (37.4527867 -0.5355349),EMBU,Manyatta  Sub County,Kirimari Ward,POINT (37.44794411156195 -0.5059675632065675)
424,SOULMATE AGROVET,Veterinary care,-0.4972774,37.4584885,POINT (37.4584885 -0.4972774),EMBU,Manyatta  Sub County,Kirimari Ward,POINT (37.44794411156195 -0.5059675632065675)
425,Promise Agrovet Runyenjes,Agrochemicals supplier,-0.4228445,37.5693049,POINT (37.5693049 -0.4228445),EMBU,Runyenjes  Sub County,Central ward,POINT (37.57270007199027 -0.4352568303850141)
426,Githurai 45 Agrovet,Hay supplier,-1.2080962,36.9261452,POINT (36.9261452 -1.2080962),Kiambu,Ruiru Sub County,Kiuu Ward,POINT (36.93352098744769 -1.2090603087425664)
427,MUBALIKI AGROVET,Veterinary care,-0.551818,37.482486,POINT (37.482486 -0.551818),EMBU,Manyatta  Sub County,Mbeti north Ward,POINT (37.48916960043009 -0.5370166459605027)
428,Snow Agrovet,Agrochemicals supplier,-1.3664972,38.0097103,POINT (38.0097103 -1.3664972),KITUI,Kitui Central  Sub County,Township Ward,POINT (38.00483511944851 -1.3532141595545901)
429,Kithimani Agro-Vet,Veterinary care,-1.3671343,38.0083183,POINT (38.0083183 -1.3671343),KITUI,Kitui Central  Sub County,Township Ward,POINT (38.00483511944851 -1.3532141595545901)
430,Snow Pharmacy & Agrovet Kalundu,Pharmacy,-1.3632162,38.0099384,POINT (38.0099384 -1.3632162),KITUI,Kitui Central  Sub County,Township Ward,POINT (38.00483511944851 -1.3532141595545901)
431,SMARTLISSE AGROVET,Agrochemicals supplier,-1.358122,38.0089402,POINT (38.0089402 -1.358122),KITUI,Kitui Central  Sub County,Township Ward,POINT (38.00483511944851 -1.3532141595545901)
432,Savvana Agrovet and Electronics,Electronics store,-1.3750588,37.9951422,POINT (37.9951422 -1.3750588),KITUI,Kitui Central  Sub County,Township Ward,POINT (38.00483511944851 -1.3532141595545901)
433,Sephkim Agrovet,Animal feed store,-1.5191717,37.2689103,POINT (37.2689103 -1.5191717),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
434,Farm Care Agrovet,Animal feed store,-1.519237,37.2689449,POINT (37.2689449 -1.519237),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
435,Riziki Agrovet,Agrochemicals supplier,-1.5202036,37.2707316,POINT (37.2707316 -1.5202036),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
436,Muthetheni Agrovet,Agrochemicals supplier,-1.5203402,37.2699726,POINT (37.2699726 -1.5203402),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
437,Sheba Agrovet,Agrochemicals supplier,-1.521422,37.2689811,POINT (37.2689811 -1.521422),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
438,Agrovet Seeds,Agrochemicals supplier,-1.5194119,37.2697433,POINT (37.2697433 -1.5194119),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
439,Makamithi Agrovet Green World,Veterinary care,-1.521545,37.2689954,POINT (37.2689954 -1.521545),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
440,Makamithi Enterprises Ltd,Agrochemicals supplier,-1.5182444,37.2656056,POINT (37.2656056 -1.5182444),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
441,Lukenya Agro~Vet Supplies Ltd.,Veterinary care,-1.520843,37.2687997,POINT (37.2687997 -1.520843),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
442,Asal Agro - Vet,Veterinary care,-1.5208459,37.2688074,POINT (37.2688074 -1.5208459),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
443,KWITU AGROVET,"F7HC+W33, Ngei Rd",-1.5202384,37.2701796,POINT (37.2701796 -1.5202384),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
444,Longonot Chemist & Agrovet,Agrochemicals supplier,-1.5210964,37.2682612,POINT (37.2682612 -1.5210964),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
445,Wamunyu Agrovet,F7HC+QJQ,-1.5205348,37.2716197,POINT (37.2716197 -1.5205348),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
446,Namco Pharmacy & Agrovet,Pharmacy,-1.5249179,37.265098,POINT (37.265098 -1.5249179),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
447,Greenvet Agrovet,Veterinary care,-1.5196435,37.2697545,POINT (37.2697545 -1.5196435),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
448,Belea Agrovet,Veterinary care,-1.5216362,37.268999,POINT (37.268999 -1.5216362),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
449,Ngugo Agrovet,Veterinary care,-1.5203272,37.2671485,POINT (37.2671485 -1.5203272),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
450,Citizen Chem. Agrovet,Veterinary care,-1.5188063,37.2697427,POINT (37.2697427 -1.5188063),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
451,NGETHA AGROVET,Agricultural product wholesaler,-1.7817664,37.6247041,POINT (37.6247041 -1.7817664),MAKUENI,Makueni  Sub County,Wote Ward,POINT (37.59852366427388 -1.7938655207355552)
452,Muthetheni Agrovet,Agrochemicals supplier,-1.5203402,37.2699726,POINT (37.2699726 -1.5203402),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
453,GRACELAND AGROVET(AG),Agrochemicals supplier,-1.7700939,37.5527783,POINT (37.5527783 -1.7700939),MAKUENI,Kaiti  Sub County,Ukia ward,POINT (37.51474781310259 -1.7606503351000666)
454,Farm Care Agrovet,Animal feed store,-1.519237,37.2689449,POINT (37.2689449 -1.519237),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
455,Riziki Agrovet,Agrochemicals supplier,-1.5202036,37.2707316,POINT (37.2707316 -1.5202036),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
456,Mituvu Agrovet Ngoluni,Agrochemicals supplier,-1.6070992,37.584856,POINT (37.584856 -1.6070992),MAKUENI,Mbooni  Sub County,Waia/Kako Ward,POINT (37.622131048512514 -1.662117865011125)
457,Utaati agrovet,Agrochemicals supplier,-2.4114381,37.9669249,POINT (37.9669249 -2.4114381),MAKUENI,Kibwezi West  Sub County,Kikumbulyu South Ward,POINT (37.99506638329876 -2.365820553577991)
458,Sephkim Agrovet,Animal feed store,-1.5191717,37.2689103,POINT (37.2689103 -1.5191717),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
459,Makamithi Agrovet Green World,Veterinary care,-1.521545,37.2689954,POINT (37.2689954 -1.521545),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
460,JAMAS AGROVET,Store,-1.8532724,37.6613408,POINT (37.6613408 -1.8532724),MAKUENI,Makueni  Sub County,Muvau/Kikumini Ward,POINT (37.65324845938959 -1.8592660469164302)
461,"Makamithi, Wote",Agrochemicals supplier,-1.7821243,37.6274467,POINT (37.6274467 -1.7821243),MAKUENI,Makueni  Sub County,Wote Ward,POINT (37.59852366427388 -1.7938655207355552)
462,Juliet Agrovet,Agrochemicals supplier,-1.7930971,37.3623492,POINT (37.3623492 -1.7930971),MAKUENI,Kaiti  Sub County,Kilungu ward,POINT (37.37670770506492 -1.7934878237692191)
463,Makamithi Enterprises Ltd,Agrochemicals supplier,-1.5182444,37.2656056,POINT (37.2656056 -1.5182444),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
464,Agrovet Seeds,Agrochemicals supplier,-1.5194119,37.2697433,POINT (37.2697433 -1.5194119),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
465,Iviani Farm,Agricultural service,-1.8296759,37.6841554,POINT (37.6841554 -1.8296759),MAKUENI,Makueni  Sub County,Muvau/Kikumini Ward,POINT (37.65324845938959 -1.8592660469164302)
466,Sett Agrovet,Agrochemicals supplier,-1.8038345,37.4121366,POINT (37.4121366 -1.8038345),MAKUENI,Kaiti  Sub County,Kilungu ward,POINT (37.37670770506492 -1.7934878237692191)
467,SAMBA AGROVETS,Agrochemicals supplier,-2.2837664,37.8148035,POINT (37.8148035 -2.2837664),MAKUENI,Kibwezi West  Sub County,Makindu Ward,POINT (37.79288358855482 -2.2201985539930136)
468,Regipaul agrovet,Agricultural service,-2.2802712,37.819591,POINT (37.819591 -2.2802712),MAKUENI,Kibwezi West  Sub County,Makindu Ward,POINT (37.79288358855482 -2.2201985539930136)
469,Sheba Agrovet,Agrochemicals supplier,-1.521422,37.2689811,POINT (37.2689811 -1.521422),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
470,Supreme agrovet,Agrochemicals supplier,-2.412331,37.9662071,POINT (37.9662071 -2.412331),MAKUENI,Kibwezi West  Sub County,Kikumbulyu South Ward,POINT (37.99506638329876 -2.365820553577991)
471,Wamunyu Agrovet,F7HC+QJQ,-1.5205348,37.2716197,POINT (37.2716197 -1.5205348),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
472,Lukenya Agro - Vet Supplies Ltd,Animals,-1.4741356,36.9586956,POINT (36.9586956 -1.4741356),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
473,MASONGALENI AGROVET,Veterinary care,-1.4663138,37.0194771,POINT (37.0194771 -1.4663138),Machakos,Athi River Sub County,Kinanie Ward,POINT (37.072065491131056 -1.4909726874340739)
476,Farmers Desk Centre Agrovet,Agrochemicals supplier,-1.4882028,36.9547332,POINT (36.9547332 -1.4882028),KAJIADO,Kajiado East Sub County,Kitengela Ward,POINT (36.88192335969516 -1.5503722063244798)
478,Namayiana agrovet,Veterinary pharmacy,-2.1006864,37.1289386,POINT (37.1289386 -2.1006864),KAJIADO,Kajiado East Sub County,Imaroro Ward,POINT (37.125483919156395 -1.9452103025969865)
479,NOONKOPIR PHARMACY & AGROVET,Lawn care service,-1.4770216,36.957996,POINT (36.957996 -1.4770216),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
480,Green Farm Animal Feeds,Animal feed store,-1.4791892,36.9572937,POINT (36.9572937 -1.4791892),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
481,Western Agrovet Invest,Agrochemicals supplier,-1.4603105,37.4392355,POINT (37.4392355 -1.4603105),Machakos,Mwala Sub County,Masii Ward,POINT (37.42918511314471 -1.4586243888547628)
482,Jamie agrovet,Veterinary pharmacy,-2.2804716,36.810266,POINT (36.810266 -2.2804716),KAJIADO,Kajiado Central Sub County,Matapato north Ward,POINT (36.82960986980277 -2.199060260376975)
483,Asal Agro - Vet,Veterinary care,-1.5208459,37.2688074,POINT (37.2688074 -1.5208459),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
484,Lukenya Agrovet Supplies Ltd,Agricultural service,-1.4354939,36.9729539,POINT (36.9729539 -1.4354939),Machakos,Athi River Sub County,Mathatani Ward,POINT (37.078558576313995 -1.3615165551391075)
485,Greenvet Agrovet,Veterinary care,-1.5196435,37.2697545,POINT (37.2697545 -1.5196435),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
488,Walishe Agrovets,Agrochemicals supplier,-1.5865239,36.9222113,POINT (36.9222113 -1.5865239),KAJIADO,Kajiado East Sub County,Kaputiei north Ward,POINT (36.875340832037544 -1.68681094845253)
489,Giddys Agrovet Suppplies,Veterinary care,-1.661353,37.2849868,POINT (37.2849868 -1.661353),Machakos,Machakos Sub County,Kola Ward,POINT (37.28059459621404 -1.6859637018015057)
490,Hakika Agrovet,Agrochemicals supplier,-1.6425912,36.8731764,POINT (36.8731764 -1.6425912),KAJIADO,Kajiado East Sub County,Kaputiei north Ward,POINT (36.875340832037544 -1.68681094845253)
491,New Kivani Agrovet,Veterinary care,-1.4112701,37.5654365,POINT (37.5654365 -1.4112701),Machakos,Mwala Sub County,Wamunyu Ward,POINT (37.58162676531307 -1.414446456613982)
492,NIMOH FARM AGROVET,Veterinary care,-2.008521,37.7694232,POINT (37.7694232 -2.008521),MAKUENI,Makueni  Sub County,Kathonzweni Ward,POINT (37.74976680169021 -1.9847871019377028)
493,EDEN AGROVET,Nzaikoni,-1.4635697,37.3179605,POINT (37.3179605 -1.4635697),Machakos,Kathiani Sub County,Upper Kaewa-iveti Ward,POINT (37.31156568172899 -1.4752359975580347)
494,Belea Agrovet,Veterinary care,-1.5216362,37.268999,POINT (37.268999 -1.5216362),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
495,Lenana Agrovet-Kitengela,Arborist service,-1.451789,36.978099,POINT (36.978099 -1.451789),Machakos,Athi River Sub County,Athi River Ward,POINT (36.94935392531766 -1.4627544136678376)
496,Njemwa Agrovet,Veterinary care,-1.6867783,36.8469217,POINT (36.8469217 -1.6867783),KAJIADO,Kajiado East Sub County,Kaputiei north Ward,POINT (36.875340832037544 -1.68681094845253)
497,Mbooni Hardware & Agrovet,Hardware store,-1.6635101,37.4475127,POINT (37.4475127 -1.6635101),MAKUENI,Mbooni  Sub County,Mbooni Ward,POINT (37.440452928274254 -1.648842535425796)
498,Wony Agrovet Kathiani,Agrochemicals supplier,-1.41173,37.3299118,POINT (37.3299118 -1.41173),Machakos,Kathiani Sub County,Kathiani Central Ward,POINT (37.30548235540033 -1.4141456372677756)
499,Lukenya Agro~Vet Supplies Ltd.,Veterinary care,-1.520843,37.2687997,POINT (37.2687997 -1.520843),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
500,Milvan Agrovet,Veterinary care,-1.6603884,37.448196,POINT (37.448196 -1.6603884),MAKUENI,Mbooni  Sub County,Mbooni Ward,POINT (37.440452928274254 -1.648842535425796)
501,LUCKY FARMER AGROVET,Veterinary care,-1.6614133,37.4476082,POINT (37.4476082 -1.6614133),MAKUENI,Mbooni  Sub County,Mbooni Ward,POINT (37.440452928274254 -1.648842535425796)
503,Olngarua Agrovet,Veterinary pharmacy,-1.475251,36.9620893,POINT (36.9620893 -1.475251),KAJIADO,Kajiado East Sub County,Kitengela Ward,POINT (36.88192335969516 -1.5503722063244798)
504,PETERANNEX AGROVET,Veterinary care,-1.6618359,37.4466393,POINT (37.4466393 -1.6618359),MAKUENI,Mbooni  Sub County,Mbooni Ward,POINT (37.440452928274254 -1.648842535425796)
505,ENARAU AGROVET,Farmers' market,-1.4772701,36.9568461,POINT (36.9568461 -1.4772701),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
506,Ngugo Agrovet,Veterinary care,-1.5203272,37.2671485,POINT (37.2671485 -1.5203272),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
507,Farmers Senta Agrovet,Veterinary care,-1.6617464,37.4473624,POINT (37.4473624 -1.6617464),MAKUENI,Mbooni  Sub County,Mbooni Ward,POINT (37.440452928274254 -1.648842535425796)
508,AGROVET GREENFARM FEEDS,Veterinary care,-1.5754995,36.9280664,POINT (36.9280664 -1.5754995),KAJIADO,Kajiado East Sub County,Kaputiei north Ward,POINT (36.875340832037544 -1.68681094845253)
509,Khanvet Agro Chemicals Ltd,Veterinary care,-1.7930418,37.3626502,POINT (37.3626502 -1.7930418),MAKUENI,Kaiti  Sub County,Kilungu ward,POINT (37.37670770506492 -1.7934878237692191)
510,KILIMO AGROVET,Veterinary care,-2.1002657,37.1300543,POINT (37.1300543 -2.1002657),KAJIADO,Kajiado East Sub County,Imaroro Ward,POINT (37.125483919156395 -1.9452103025969865)
511,AGRO POULTRY CENTRE,Veterinary pharmacy,-1.4600625,37.4373413,POINT (37.4373413 -1.4600625),Machakos,Mwala Sub County,Masii Ward,POINT (37.42918511314471 -1.4586243888547628)
512,Lukenya Agrovet,"6J8G+V6H, Machakos Wote Rd",-1.7828036,37.625616,POINT (37.625616 -1.7828036),MAKUENI,Makueni  Sub County,Wote Ward,POINT (37.59852366427388 -1.7938655207355552)
513,Namco Pharmacy & Agrovet,Pharmacy,-1.5249179,37.265098,POINT (37.265098 -1.5249179),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
515,Kilimo Agrovet,Veterinary care,-1.9993224,37.4179274,POINT (37.4179274 -1.9993224),MAKUENI,Makueni  Sub County,Mbitini Ward,POINT (37.449791359944584 -1.9682513200471785)
516,Citizen Chem. Agrovet,Veterinary care,-1.5188063,37.2697427,POINT (37.2697427 -1.5188063),Machakos,Machakos Sub County,Township Ward,POINT (37.27991970798023 -1.5113801198850365)
517,Muangini Agrovet,D515,-1.8908061,37.4108734,POINT (37.4108734 -1.8908061),MAKUENI,Kilome Sub County,Kasikeu Ward,POINT (37.35607565267084 -1.9523194058434954)
518,Makueni Fruit Processing Plant - Kalamba,County government office,-1.8851314,37.5138333,POINT (37.5138333 -1.8851314),MAKUENI,Makueni  Sub County,Nzaui/Kilili/Kalamba Ward,POINT (37.53799908237226 -1.9155372591479047)
519,Tumaini Agrovet,Agrochemicals supplier,-1.3406537,36.913127,POINT (36.913127 -1.3406537),Nairobi,Embakasi East Sub County,Embakasi Ward,POINT (36.93498207779296 -1.309327573004723)
520,Jacy Agrovet,Agrochemicals supplier,-1.4773793,36.9574368,POINT (36.9574368 -1.4773793),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
521,FREDS AGROVET,Mbooni - Machakos Road,-1.6328485,37.383522,POINT (37.383522 -1.6328485),MAKUENI,Mbooni  Sub County,Mbooni Ward,POINT (37.440452928274254 -1.648842535425796)
522,DAIMA AGROVET,Veterinary care,-1.8431814,36.7857972,POINT (36.7857972 -1.8431814),KAJIADO,Kajiado Central Sub County,Ildamat Ward,POINT (36.73153225169328 -1.8575369838126294)
523,Kindi Agrovet,Agrochemicals supplier,-1.4800182,36.9561002,POINT (36.9561002 -1.4800182),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
524,GALILEE AGROVET,Agrochemicals supplier,-2.0792928,37.4729782,POINT (37.4729782 -2.0792928),MAKUENI,Kibwezi West  Sub County,Emali/Mulala Ward,POINT (37.508302203541135 -2.04032914160653)
526,PLANET AGROVET,Veterinary care,-1.915219,37.7331077,POINT (37.7331077 -1.915219),MAKUENI,Makueni  Sub County,Kathonzweni Ward,POINT (37.74976680169021 -1.9847871019377028)
527,Fadhila Agrovet,Store,-1.7818632,37.6279092,POINT (37.6279092 -1.7818632),MAKUENI,Makueni  Sub County,Wote Ward,POINT (37.59852366427388 -1.7938655207355552)
530,DIAN AGROVET LTD,Agrochemicals supplier,-1.4240799,37.6223209,POINT (37.6223209 -1.4240799),Machakos,Mwala Sub County,Wamunyu Ward,POINT (37.58162676531307 -1.414446456613982)
531,O'lale Agrovet,Veterinary care,-1.4773019,36.9585523,POINT (36.9585523 -1.4773019),KAJIADO,Kajiado East Sub County,Kitengela Ward,POINT (36.88192335969516 -1.5503722063244798)
532,Rithika Pharmacy & Agrovet,Alternative medicine practitioner,-1.4604752,37.4387894,POINT (37.4387894 -1.4604752),Machakos,Mwala Sub County,Masii Ward,POINT (37.42918511314471 -1.4586243888547628)
533,Mkulima Agrovet,Veterinary care,-1.6872681,36.8459213,POINT (36.8459213 -1.6872681),KAJIADO,Kajiado East Sub County,Kaputiei north Ward,POINT (36.875340832037544 -1.68681094845253)
534,FARM AGROVET,Veterinary care,-1.4598179,37.4371824,POINT (37.4371824 -1.4598179),Machakos,Mwala Sub County,Masii Ward,POINT (37.42918511314471 -1.4586243888547628)
535,Rayon Enterprises Agrovet,Animal feed store,-1.4772723,36.9568975,POINT (36.9568975 -1.4772723),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
536,Agriculture Matters Agrovet,Veterinary care,-1.6853899,36.8462572,POINT (36.8462572 -1.6853899),KAJIADO,Kajiado East Sub County,Kaputiei north Ward,POINT (36.875340832037544 -1.68681094845253)
537,Masaku Farmers Agrovet,Veterinary care,-1.5339709,37.1325571,POINT (37.1325571 -1.5339709),Machakos,Athi River Sub County,Kinanie Ward,POINT (37.072065491131056 -1.4909726874340739)
538,RAFKIM AGROVET,Veterinary care,-1.9072448,37.5199812,POINT (37.5199812 -1.9072448),MAKUENI,Makueni  Sub County,Nzaui/Kilili/Kalamba Ward,POINT (37.53799908237226 -1.9155372591479047)
