,Title,Category,Latitude,Longitude,geometry,county,subcounty,ward,centroid
1071,Wasima Agrovet,Agricultural service,0.9852808,35.0125531,POINT (35.0125531 0.9852808),TRANS NZOIA,Kiminini  Sub County,Hospital Ward,POINT (35.0379366335449 1.015107424398582)
1072,Baolanda Agrovet,Agriculture,1.0207574,35.0004887,POINT (35.0004887 1.0207574),TRANS NZOIA,Saboti  Sub County,Tuwani Ward,POINT (34.990470961186595 1.0264236024324973)
1073,PAFANA ENTERPRISES AGROVET,Agricultural production,1.0208326,35.0000238,POINT (35.0000238 1.0208326),TRANS NZOIA,Saboti  Sub County,Tuwani Ward,POINT (34.990470961186595 1.0264236024324973)
1074,Mkulima Agrovet,Agriculture,1.0172402,35.0038599,POINT (35.0038599 1.0172402),TRANS NZOIA,Kiminini  Sub County,Hospital Ward,POINT (35.0379366335449 1.015107424398582)
1075,Botanic Agro - Vet,Agricultural service,1.0147383,35.0025444,POINT (35.0025444 1.0147383),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1076,Paves Vetagro Distribution center,Warehouse,1.0193637,35.0209537,POINT (35.0209537 1.0193637),TRANS NZOIA,Kiminini  Sub County,Hospital Ward,POINT (35.0379366335449 1.015107424398582)
1077,Groshen Agrovet,Veterinary care,1.0190956,35.0017375,POINT (35.0017375 1.0190956),TRANS NZOIA,Saboti  Sub County,Tuwani Ward,POINT (34.990470961186595 1.0264236024324973)
1078,JIREH AGROVET,Agrochemicals supplier,1.0528259,35.1018809,POINT (35.1018809 1.0528259),TRANS NZOIA,Cherangany Sub County,Sitatunga Ward,POINT (35.09780622885296 1.0620991766560042)
1079,Tiba Agrovet,Agrochemicals supplier,1.2593209,35.0940187,POINT (35.0940187 1.2593209),WEST POKOT,West Pokot Sub County,Kapenguria Ward,POINT (35.120238938613156 1.3144333733622817)
1080,Lelan Agrovet,Agrochemicals supplier,1.2021776,35.2848567,POINT (35.2848567 1.2021776),WEST POKOT,Pokot South Sub County,Lelan Ward,POINT (35.30815913775586 1.204566576180442)
1081,TRIOVIC AGROVET,Veterinary care,1.0138948,35.0033399,POINT (35.0033399 1.0138948),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1082,Neema Agrovet,Agricultural service,0.8785604,35.1200798,POINT (35.1200798 0.8785604),Uasin Gishu,Soy Sub County,Moi's Bridge Ward,POINT (35.1668646430247 0.8910557301730416)
1083,KARIMI AGROVET,Veterinary care,0.9348484,35.2736821,POINT (35.2736821 0.9348484),TRANS NZOIA,Cherangany Sub County,Chepsiro/kiptoror Ward,POINT (35.30269489311595 0.9661555835244431)
1084,Jawabu Agrovet,Veterinary care,1.0174833,35.0068684,POINT (35.0068684 1.0174833),TRANS NZOIA,Kiminini  Sub County,Hospital Ward,POINT (35.0379366335449 1.015107424398582)
1086,Chera Agrovet,Veterinary care,1.0144163,35.0027817,POINT (35.0027817 1.0144163),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1088,Frontline Agrovet,Veterinary care,1.0183376,35.0029192,POINT (35.0029192 1.0183376),TRANS NZOIA,Kiminini  Sub County,Hospital Ward,POINT (35.0379366335449 1.015107424398582)
1089,Prime Agrovet,Veterinary care,1.0169757,35.0014222,POINT (35.0014222 1.0169757),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1090,West End Agrovet,Agrochemicals supplier,0.8088529,34.4632448,POINT (34.4632448 0.8088529),Bungoma,Cheptais Sub County,Cheptais Ward,POINT (34.44767711571493 0.8326663775521115)
1091,Jomba Agrovet,Store,0.8272628,35.0718504,POINT (35.0718504 0.8272628),Kakamega,Likuyani Sub County,Nzoia Ward,POINT (35.07390845658178 0.8235304968373425)
1092,BARAKA AGROVET,Agrochemicals supplier,0.9832265,35.0253004,POINT (35.0253004 0.9832265),TRANS NZOIA,Kiminini  Sub County,Hospital Ward,POINT (35.0379366335449 1.015107424398582)
1093,Vet Sagero Agrovet,Veterinary care,1.0376331,34.9725089,POINT (34.9725089 1.0376331),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
